filename,label,edit_type
2.jpg,0,authentic
2-edited.jpg,1,mixed
3.jpg,0,authentic
3-edited.jpg,1,compositing
4.jpg,0,authentic
4-edited.jpg,1,compositing
5.jpg,0,authentic
5-edited.jpg,1,removal
6.jpg,0,authentic
6-edited.jpg,1,removal
7.jpg,0,authentic
7-edited.jpg,1,compositing
8.jpg,0,authentic
8-edited.jpg,1,compositing
9.jpg,0,authentic
9-edited.jpg,1,mixed
10.jpg,0,authentic
10-edited.jpg,1,removal
11.jpg,0,authentic
11-edited.jpg,1,removal
12.jpg,0,authentic
12-edited.jpg,1,compositing
13.jpg,0,authentic
13-edited.jpg,1,compositing
14.jpg,0,authentic
14-edited.jpg,1,removal
15.jpg,0,authentic
15.2-edited.jpg,1,mixed
15-edited.jpg,1,removal
16.jpg,0,authentic
16-edited.jpg,1,removal
16.2-edited.jpg,1,removal
17.jpg,0,authentic
17-edited.jpg,1,compositing
18.jpg,0,authentic
18-edited.jpg,1,removal
19.jpg,0,authentic
19-edited.jpg,1,removal
20.jpg,0,authentic
20-edited.jpg,1,mixed
21.jpg,0,authentic
21-edited.jpg,1,removal
22.jpg,0,authentic
22-edited.jpg,1,compositing
23.jpg,0,authentic
23-edited.jpg,1,compositing
24.jpg,0,authentic
24-edited.jpg,1,removal
25.jpg,0,authentic
25-edited.jpg,1,removal
26.jpg,0,authentic
26-edited.jpg,1,compositing
27.jpg,0,authentic
27-edited.jpg,1,mixed
28.jpg,0,authentic
28-edited.jpg,1,mixed
29.jpg,0,authentic
29-edited.jpg,1,mixed
30.jpg,0,authentic
30-edited.jpg,1,mixed
31.jpg,0,authentic
31-edited.jpg,1,compositing
32.jpg,0,authentic
32-edited.jpg,1,mixed
33.jpg,0,authentic
33-edited.jpg,1,removal
34.jpg,0,authentic
34-edited.jpg,1,mixed
35.jpg,0,authentic
35-edited.jpg,1,removal
36.jpg,0,authentic
36-edited.jpg,1,removal
37.jpg,0,authentic
37-edited.jpg,1,mixed
38.jpg,0,authentic
38-edited.jpg,1,mixed
39.jpg,0,authentic
39-edited.jpg,1,compositing
40.jpg,0,authentic
40-edited.jpg,1,mixed
42.jpg,0,authentic
42-edited.jpg,1,removal
43.jpg,0,authentic
43-edited.jpg,1,removal
44.jpg,0,authentic
44-edited.jpg,1,mixed
45.jpg,0,authentic
45-edited.jpg,1,mixed
46.jpg,0,authentic
46-edited.jpg,1,removal
47.jpg,0,authentic
47-edited.jpg,1,removal
48.jpg,0,authentic
48-edited.jpg,1,removal
50.jpg,0,authentic
50-edited.jpg,1,removal
51.jpg,0,authentic
51-edited.jpg,1,removal
52.jpg,0,authentic
52-edited.jpg,1,removal
53.jpg,0,authentic
53-edited.jpg,1,mixed
54.jpg,0,authentic
